시도,시군구,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
서울특별시,광진구,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,서초구,121,62,0,0,62,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,성동구,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,강서구,100398,647,0,543,104,699,313,386,0,5279,800,4468,11,90857,0,89264,1593,1103,1098,5,0,1,0,0,1,0,0,0,0,7,0,0,7,280,0,280,0,1525,0,1400,125,0,0,0,0,0,0,0,0
부산광역시,금정구,57,53,0,33,20,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,기장군,2753,359,0,359,0,160,0,160,0,1140,0,1140,0,0,0,0,0,44,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,1000,0,1000,0,0,0,0,0,0,0,0,0
부산광역시,북구,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,해운대구,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,달서구,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,달성군,328789,5806,895,4911,0,978,314,664,0,7757,7400,357,0,312370,0,312370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,1878,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,동구,44428,1501,384,1109,8,175,65,110,0,2150,0,2150,0,40500,0,40500,0,0,0,0,0,80,0,50,30,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,북구,3298,1798,86,1518,194,6,0,0,6,270,0,270,0,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,124,0,800,0,0,800,0,0,0,0,0,0,0,0
대구광역시,수성구,290,240,0,143,97,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,2293172,20872,7781,13091,0,1842,477,1365,0,58059,36707,21352,0,1941198,48,1941150,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10863,0,10863,0,159,0,0,159,0,0,0,0,260173,0,0,260173
인천광역시,계양구,118998,771,0,771,0,942,0,942,0,693,0,633,60,115610,0,115610,0,43,0,43,0,139,0,139,0,0,0,0,0,0,0,0,0,800,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,남동구,206,75,0,66,9,40,0,40,0,0,0,0,0,11,0,0,11,61,0,61,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,서구,3485,0,0,0,0,70,0,70,0,700,0,700,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,연수구,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,옹진군,500,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,중구,167,157,0,3,154,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,광산구,337321,1998,160,1250,588,540,200,340,0,5513,4330,1180,3,242150,0,48000,194150,30,0,30,0,120,0,0,120,0,0,0,0,40,0,40,0,1430,0,1430,0,15500,0,15000,500,0,0,0,0,70000,0,0,70000
광주광역시,남구,725,65,0,65,0,0,0,0,0,660,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,북구,16120,790,0,702,88,0,0,0,0,0,0,0,0,1300,0,0,1300,0,0,0,0,25,0,0,25,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,14000
광주광역시,서구,12362,78,0,0,78,0,0,0,0,28,0,0,28,0,0,0,0,31,31,0,0,225,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,12000,0,0,0,0,0,0,0,0
대전광역시,대덕구,1126,61,0,38,23,0,0,0,0,34,0,0,34,806,0,0,806,0,0,0,0,84,0,0,84,0,0,0,0,0,0,0,0,141,0,85,56,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,동구,634,104,0,70,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,서구,35790,2234,0,1691,543,0,0,0,0,1000,0,1000,0,30000,0,30000,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,유성구,44522,1130,0,1114,16,0,0,0,0,1,0,1,0,42912,0,40112,2800,19,0,19,0,0,0,0,0,0,0,0,0,10,0,5,5,450,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,중구,2296,536,0,414,122,0,0,0,0,0,0,0,0,1475,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,210,50,25,0,0,25,0,0,0,0,0,0,0,0
울산광역시,남구,1147,59,0,25,34,0,0,0,0,5,0,0,5,981,0,0,981,0,0,0,0,67,0,0,67,4,0,0,4,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
